[2024-01-25 16:30:36] [INFO    ] discord.client: logging in using static token
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1198365903109238794', 'username': 'EchoEDU', 'avatar': None, 'discriminator': '7369', 'public_flags': 0, 'premium_type': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'mfa_enabled': True, 'locale': 'en-US', 'email': None, 'verified': True, 'bio': ''}
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-01-25 16:30:36] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1198365903109238794', 'name': 'EchoEDU', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1198365903109238794', 'username': 'EchoEDU', 'avatar': None, 'discriminator': '7369', 'public_flags': 0, 'premium_type': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None}, 'summary': '', 'bot_public': False, 'bot_require_code_grant': False, 'verify_key': '403bdcaeb7b00d7081835e5f2dfda0344fea4327d06a2d80460044bde304bda0', 'flags': 524288, 'hook': True, 'is_monetized': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '495815782522159134', 'username': 'veryawesomer', 'avatar': '3954095e7a9c7eaf07eff2084f875930', 'discriminator': '0', 'public_flags': 128, 'premium_type': 0, 'flags': 128, 'banner': None, 'accent_color': 15854811, 'global_name': 'Awesomer', 'avatar_decoration_data': None, 'banner_color': '#f1ecdb'}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'creator_monetization_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2240, 'monetization_state': 1, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2}
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-ct3m",{"micros":0.0}]']}}
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
